dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec
real,FD,5,1.0468127348889475,0.15333847268092254,8.893330375023652
real,SFD,5,1.0458642478891123,0.030193261850448693,1.3972143750288524
real,ImprovedSFD,5,1.0220592949950156,0.015262877246298179,0.05949816695647314
real,FD,10,1.0579313911696977,0.07221964713673842,11.08858479099581
real,SFD,10,1.043762435090055,0.019167109337005394,1.415028124989476
real,ImprovedSFD,10,1.0256032196510476,0.00889800715401082,0.10738645901437849
real,FD,15,1.0483238523613467,0.04669995524028716,13.024537666991819
real,SFD,15,1.0329155237614507,0.016626822108990892,1.6661300000268966
real,ImprovedSFD,15,1.0015765403601642,0.00551269808608779,0.17501979100052267
real,FD,20,1.0549367701843027,0.034589519887351775,13.693507792020682
real,SFD,20,1.0330784303361757,0.014215414275234952,1.729701541014947
real,ImprovedSFD,20,1.0003313031728014,0.004515738539712044,0.25788629200542346
real,FD,50,1.050615639497261,0.01385801152592919,22.308544165978674
real,SFD,50,1.0087071638085243,0.007627098770196301,2.200799999991432
real,ImprovedSFD,50,1.0000021707787456,0.0021648646938976024,1.1306275830138475
real,FD,100,1.0102991117427695,0.0066110847310405195,20.56318137497874
real,SFD,100,1.0026088656322658,0.004292805689348267,3.1629894170328043
real,ImprovedSFD,100,1.0000001929860844,0.0016111187318962631,2.541069041006267
