dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec
real,FD,5,1.021078699361578,0.005502496412185347,0.44177849998231977
real,SFD,5,1.0062373550163533,0.005031519080829945,0.033676749968435615
real,ImprovedSFD,5,1.0046976399150664,0.004986640813453614,0.002498542016837746
real,FD,10,1.0360880395914336,0.005502458316830385,0.5583102499949746
real,SFD,10,1.0077994912453039,0.004147015669944164,0.034793458005879074
real,ImprovedSFD,10,1.005014840615403,0.003965256327758313,0.004394624964334071
real,FD,15,1.034834578616563,0.005501692874462283,0.5369665419566445
real,SFD,15,1.0043300428955146,0.004023287469459877,0.03641512501053512
real,ImprovedSFD,15,1.0016388605770012,0.003584095618844371,0.006828457990195602
real,FD,20,1.0346858373997223,0.0055005456808482804,0.5659636670025066
real,SFD,20,1.0024821047231331,0.003451600465284207,0.03796729200985283
real,ImprovedSFD,20,1.0006693615039106,0.0031254188207621918,0.010325999988708645
real,FD,50,1.0311915159241671,0.005478099462210997,0.7718014580314048
real,SFD,50,1.0007968449750775,0.0028196004632761165,0.05304437497397885
real,ImprovedSFD,50,1.0001378334516136,0.0024931494331929694,0.03148504201089963
real,FD,100,1.0277848625772275,0.005473478834024333,0.8459626659750938
real,SFD,100,1.0001963426652198,0.002160166045455687,0.08497491601156071
real,ImprovedSFD,100,1.0000175967767508,0.0019918413124337415,0.0757084580254741
