dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec
real,FD,5,1.162651635389102,0.07334573706647678,1.3052371669909917
real,SFD,5,1.0267875693182655,0.021647675485580217,0.086927458003629
real,ImprovedSFD,5,1.0203189629634022,0.01741398111861682,0.007285416009835899
real,FD,10,1.1328409555253687,0.06830663736771721,1.5074330830248073
real,SFD,10,1.015244734637053,0.010810634664377313,0.08013687503989786
real,ImprovedSFD,10,1.0106184161850889,0.00899555916588645,0.012299916008487344
real,FD,15,1.125278708564774,0.04513318821648978,2.2654374999692664
real,SFD,15,1.0038002957019503,0.008154605924678366,0.09173008397920057
real,ImprovedSFD,15,1.0006062770637256,0.006946317686682586,0.020118582993745804
real,FD,20,1.1181218114853566,0.03360660653168508,2.9996222079498693
real,SFD,20,1.0003544840859586,0.0061348890936307335,0.09920291701564565
real,ImprovedSFD,20,1.0000588881077883,0.005313376878740015,0.024690333986654878
real,FD,50,1.0231438618872342,0.012888643363043977,2.381037417042535
real,SFD,50,1.0000365800874647,0.003189451214844709,0.1136975419940427
real,ImprovedSFD,50,1.000002319372177,0.002636615720385298,0.07192795898299664
real,FD,100,1.0024011063081273,0.0060778921915523735,3.850472207996063
real,SFD,100,1.0000010897011635,0.002090242572096216,0.2003869169857353
real,ImprovedSFD,100,1.000000029449911,0.001806717581541221,0.25414683303097263
