dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec,varied_param,param_value,n,d,z,l
real,FD,5,1.046812734888948,0.15333847268092254,8.979372125002556,,,,,,
real,SFD,5,1.0474067310193427,0.030493873109095085,1.4130498750018887,,,,,,
real,ImprovedSFD,5,1.022064375435782,0.014872111311530977,0.0600219169864431,,,,,,
real,FD,10,1.0579313911696977,0.07221964713673842,11.1381826249999,,,,,,
real,SFD,10,1.042161109512258,0.019246507843021614,1.4194416669779457,,,,,,
real,ImprovedSFD,10,1.016709995749275,0.008985002188240625,0.1065015000058338,,,,,,
real,FD,15,1.0483238523613465,0.04669995524028716,12.786396292038262,,,,,,
real,SFD,15,1.0325738840505345,0.01661229826122472,1.507575249997899,,,,,,
real,ImprovedSFD,15,1.0012044748082558,0.005462206701887498,0.1696323329815641,,,,,,
real,FD,20,1.0549367701843018,0.034589519887351775,13.914666208031122,,,,,,
real,SFD,20,1.0317695580773716,0.01417021012395344,1.6029720830265433,,,,,,
real,ImprovedSFD,20,1.0003043167753503,0.004547657635689158,0.23751429200638086,,,,,,
real,FD,50,1.0506156394972619,0.01385801152592919,22.693530833988916,,,,,,
real,SFD,50,1.0086740892693948,0.007602142139266411,2.1868781249504536,,,,,,
real,ImprovedSFD,50,1.0000024638658878,0.002133792588856519,1.0306039999704808,,,,,,
real,FD,100,1.0102991117427709,0.0066110847310405195,20.35145041695796,,,,,,
real,SFD,100,1.0026122532406283,0.004287561460296702,3.054335707973223,,,,,,
real,ImprovedSFD,100,1.0000001618204106,0.0015933057874439735,2.299029540969059,,,,,,
synthetic,FD,50,1.0146716439673513,0.007157289213930221,0.8618980000028387,n,10000.0,10000.0,1000.0,100.0,50.0
synthetic,SFD,50,1.0081611181722923,0.007071850877270585,0.2645128750009462,n,10000.0,10000.0,1000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.002848818103444,0.0067765256841267815,0.1509465419803746,n,10000.0,10000.0,1000.0,100.0,50.0
synthetic,FD,50,1.011156016722076,0.006723561698212443,1.7513869169633836,n,20000.0,20000.0,1000.0,100.0,50.0
synthetic,SFD,50,1.0071245445133497,0.006687102597375477,0.5339382499805652,n,20000.0,20000.0,1000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.0037645006275648,0.0065699908003602064,0.3078798330388963,n,20000.0,20000.0,1000.0,100.0,50.0
synthetic,FD,50,1.00970450945989,0.006522251029326852,2.6392154169734567,n,30000.0,30000.0,1000.0,100.0,50.0
synthetic,SFD,50,1.0062351380257264,0.006508674004156059,0.8001834580209106,n,30000.0,30000.0,1000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.0039924698308758,0.00646920133516803,0.4624532089801505,n,30000.0,30000.0,1000.0,100.0,50.0
synthetic,FD,50,1.0091336404254871,0.006416713598062373,3.5069135829689912,n,40000.0,40000.0,1000.0,100.0,50.0
synthetic,SFD,50,1.0056920190967245,0.006402991375374978,1.0666843749932013,n,40000.0,40000.0,1000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.0038665858160092,0.00638414842032751,0.6175518330419436,n,40000.0,40000.0,1000.0,100.0,50.0
synthetic,FD,50,1.0081680339421817,0.006365016087714605,4.42000054201344,n,50000.0,50000.0,1000.0,100.0,50.0
synthetic,SFD,50,1.0053897434026808,0.006352254813384123,1.3369875409989618,n,50000.0,50000.0,1000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.003693154531537,0.006322228471356771,0.7711717910133302,n,50000.0,50000.0,1000.0,100.0,50.0
synthetic,FD,50,1.0078631054559744,0.006309854064295812,5.301577874983195,n,60000.0,60000.0,1000.0,100.0,50.0
synthetic,SFD,50,1.0051833533481098,0.006300882809272669,1.6057924579945393,n,60000.0,60000.0,1000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.003590334242554,0.006279419605402705,0.9409597089979798,n,60000.0,60000.0,1000.0,100.0,50.0
synthetic,FD,50,1.0146716439673513,0.007157289213930221,0.8697981250006706,d,1000.0,10000.0,1000.0,100.0,50.0
synthetic,SFD,50,1.008161118172292,0.007071850877270585,0.26459508400876075,d,1000.0,10000.0,1000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.002848818103444,0.0067765256841267815,0.15312254196032882,d,1000.0,10000.0,1000.0,100.0,50.0
synthetic,FD,50,1.0139699204906019,0.007108487329279979,1.4247556669870391,d,2000.0,10000.0,2000.0,100.0,50.0
synthetic,SFD,50,1.005444995355606,0.006916517101279145,0.24982995801838115,d,2000.0,10000.0,2000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.0014167078068592,0.0067000889123423855,0.1448369999998249,d,2000.0,10000.0,2000.0,100.0,50.0
synthetic,FD,50,1.0142710337894965,0.007111175557502661,1.9075720830005594,d,3000.0,10000.0,3000.0,100.0,50.0
synthetic,SFD,50,1.0040874176059833,0.006875202128904496,0.25146716699237004,d,3000.0,10000.0,3000.0,100.0,50.0
synthetic,ImprovedSFD,50,1.0012727776103054,0.00667601865546159,0.14195370901143178,d,3000.0,10000.0,3000.0,100.0,50.0
synthetic,FD,50,1.014102860940311,0.007098225194084763,2.28981325001223,d,4000.0,10000.0,4000.0,100.0,50.0
