dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec
real,FD,5,1.0445269949946492,0.14998182742728042,40.67353450000519
real,SFD,5,1.02276533510653,0.027021935353168387,1.5121357919997536
real,ImprovedSFD,5,1.016009614777181,0.011513317339773578,0.10471324995160103
real,FD,10,1.054920018649487,0.06991274165534248,41.017631500028074
real,SFD,10,1.0273910054988307,0.012729190159052694,1.530493958038278
real,ImprovedSFD,10,1.0112855517879407,0.005648774011693869,0.1569666659925133
real,FD,15,1.0446994681650756,0.04494569830796859,45.04099845798919
real,SFD,15,1.021164274141611,0.008679574564050115,1.5929915840388276
real,ImprovedSFD,15,1.0039215756701758,0.003943882325297398,0.2336775420117192
real,FD,20,1.0464690091730702,0.03311331699495879,50.41482129198266
real,SFD,20,1.0173943491824051,0.007112767632856681,1.8444621250382625
real,ImprovedSFD,20,1.0007074264332818,0.0026848372511868324,0.30682987498585135
real,FD,50,1.0271513143277857,0.012694991878382975,61.24444833403686
real,SFD,50,1.0077055553958811,0.004620460805452474,2.091874542005826
real,ImprovedSFD,50,1.0000232672041378,0.001597979204480893,1.169752541987691
real,FD,100,1.019597258781406,0.006211209745194545,72.44417299999623
real,SFD,100,1.0021895993771157,0.0028277008904960717,2.875062374980189
real,ImprovedSFD,100,1.000001279867651,0.0012184899889465157,2.561321874964051
