dataset,algorithm,sketch_size,projection_error,covariance_error,runtime_sec
real,FD,5,1.0468127348889475,0.15333847268092254,8.779890833015088
real,SFD,5,1.04586424788911,0.030193261850448693,1.3918898749980144
real,ImprovedSFD,5,1.0221510861499983,0.015186611605229168,0.027476082963403314
real,FD,10,1.0579313911696997,0.07221964713673842,11.2826846659882
real,SFD,10,1.0437624350900558,0.019167109337005394,1.4337159999995492
real,ImprovedSFD,10,1.0228682956141122,0.009066024985678591,0.04183350002858788
real,FD,15,1.0483238523613458,0.04669995524028716,12.873509042023215
real,SFD,15,1.0329155237614516,0.016626822108990892,1.5308770420379005
real,ImprovedSFD,15,1.0023108715800708,0.005919646297405411,0.05422412499319762
real,FD,20,1.0549367701843033,0.034589519887351775,14.132406375021674
real,SFD,20,1.0330784303361757,0.014215414275234952,1.7110776670160703
real,ImprovedSFD,20,1.0009321568744043,0.004827748530957954,0.06884000002173707
real,FD,50,1.0506156394972623,0.01385801152592919,23.296409792033955
real,SFD,50,1.0087071638085228,0.007627098770196301,2.1527802500058897
real,ImprovedSFD,50,1.0000344257030136,0.0024421709205686534,0.23130195797421038
real,FD,100,1.0102991117427678,0.0066110847310405195,20.767064916959498
real,SFD,100,1.0026088656322658,0.004292805689348267,3.103087791998405
real,ImprovedSFD,100,1.0000048578307599,0.0018142541606323182,0.5146396250347607
